,Artist,Genre,Title,Year
561,희자매,성인가요,그 사람 바보,1980
562,계은숙,성인가요,기다리는 여심,1980
563,윤항기,성인가요,나는 행복합니다,1980
564,김학래,발라드,내가 (대,1980
565,조용필,성인가요,단발머리,1980
566,심수봉,성인가요,당신은 누구시길래,1980
567,박인수,발라드,당신은 별을 보고 울어 보셨나요,1980
568,지다연,포크/블루스,동반자,1980
569,이치현과 벗님들,포크/블루스,또 만났네,1980
570,이주일,성인가요,못생겨서 죄송합니다,1980
571,유한그루,포크/블루스,물레,1980
572,나미,발라드,미운정 고운정,1980
573,김태화,성인가요,난 참 바보처럼 살았군요,1980
574,이정희,발라드,바야야,1980
575,옥슨 80,록/메탈,불놀이야,1980
576,하성관,포크/블루스,빙빙빙,1980
577,조용필,성인가요,사랑은 아직도 끝나지 않았네,1980
578,양희은,포크/블루스,사랑이야,1980
579,이영화,성인가요,실비 오는 소리에,1980
580,나미,댄스,영원한 친구,1980
581,논두렁 밭두렁,발라드,외할머니 댁,1980
582,작은 거인,록/메탈,일곱색깔 무지개,1980
583,이영화,성인가요,저 높은 곳을 향하여,1980
584,정난이,성인가요,제 7광구,1980
585,노고지리,록/메탈,찻잔,1980
586,산울림,록/메탈,창문너머 어렴풋이 옛 생각이 나겠지요,1980
587,조용필,성인가요,창밖의 여자,1980
588,함중아,성인가요,풍문으로 들었소,1980
589,조동진,포크/블루스,행복한 사람,1980
590,송창식,포크/블루스,가나다라,1981
591,산울림,록/메탈,가지마오,1981
592,이종용,발라드,겨울아이,1981
593,조용필,성인가요,고추잠자리,1981
594,김만수,포크/블루스,그 사람,1981
595,버들피리,성인가요,꿈 찾아가리,1981
596,여진,발라드,꿈을 꾼 후에,1981
597,김윤희,성인가요,남편에게 바치는 노래,1981
598,함중아,발라드,나에게도 사랑이,1981
599,수연,성인가요,높은 하늘아,1981
600,들고양이들,성인가요,능수버들,1981
601,이연실,포크/블루스,목로주점,1981
